team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Chelsea FC,Chelsea,2021/2022,England,17,9,8,2,11,5,6,4,3,1,2,1,1,2.18,2,2.38,3,4,2,3,39,12,27,51,29,22,22,17,7,5,15,12,39,37,42,127,115,143,8,3,5,8,5,3,1,1,0,14,6,8,109,66,43,27,12,15,60,62,58,295,172,123,121,68,53,174,104,70,179,103,76,18,9,9,4,1,3,14,8,6,9,5,4,8,4,4,0,0,0,2.06,2.11,2,3,3.22,2.75,2.29,2.44,2.13,0.71,0.78,0.63,1.29,1.11,1.5,1.06,1,1.13,0.24,0.11,0.38,17,15,10,4,3,1,9,8,5,3,2,1,8,7,5,1,1,0,0,2,7,13,14,16,0,1,4,6,7,8,0,1,3,7,7,8,100,88,59,24,18,6,100,89,56,33,22,11,100,88,63,13,13,0,0,12,41,76,82,94,0,11,44,67,78,89,0,12,37,87,87,100,12,8,2,6,3,1,6,5,1,71,47,12,67,33,11,75,63,13,65,56,75,-2,47,33,63,47,56,38,6,11,0,82,67,100,13,8,5,76,89,63,5,3,2,29,33,25,4,1,3,24,11,38,53,56,50,47,44,50,0,0,0,6.41,7.33,5.38,1.59,1.33,1.88,82,71,59,53,41,41,41,41,1.96,2.15,1.74,1.18,0.99,1.39,65,2,4,5,3,6,4,4,3,8,0,0,1,1,3,2,1,2,2,24,33,13,12,11,13,41
West Ham United FC,West Ham United,2021/2022,England,17,8,9,1,8,4,4,4,2,2,5,2,3,1.65,1.75,1.56,5,7,4,5,28,21,7,49,28,21,16,12,12,9,4,3,55,45,68,73,60,90,4,1,3,11,7,4,4,0,4,8,6,2,97,42,55,21,8,13,47,42,51,251,118,133,96,45,51,155,73,82,148,78,70,9,6,3,10,5,5,-1,1,-2,4,3,1,8,3,5,5,2,3,1.18,1.5,0.89,2.88,3.5,2.33,1.65,2,1.33,1.24,1.5,1,1.12,1.38,0.89,0.53,0.75,0.33,0.59,0.63,0.56,15,12,10,6,5,1,8,7,6,4,3,0,7,5,4,2,2,1,2,5,7,11,12,16,0,1,2,4,5,8,2,4,5,7,7,8,88,71,59,35,29,6,100,88,75,50,38,0,78,56,44,22,22,11,12,29,41,65,71,94,0,12,25,50,62,100,22,44,56,78,78,89,11,5,3,7,3,1,4,2,2,65,29,18,88,38,13,44,22,22,47,50,44,0,24,13,33,65,88,44,24,0,44,47,75,22,9,4,5,53,50,56,9,2,7,53,25,78,5,3,2,29,38,22,24,38,11,47,38,56,29,25,33,5.71,5.25,6.11,1.24,1,1.44,88,82,76,65,47,47,35,24,1.64,1.63,1.65,1.51,1.44,1.57,82,3,1,2,3,0,3,5,6,5,1,2,1,4,3,2,2,0,6,24,25,22,29,25,33,18
Watford FC,Watford,2021/2022,England,16,8,8,2,4,2,2,1,1,0,11,5,6,0.81,0.88,0.75,17,19,13,17,21,31,-10,52,27,25,10,11,17,14,-7,-3,69,72,65,46,42,51,0,0,0,9,5,4,7,3,4,4,2,2,69,38,31,35,21,14,41,39,42,190,96,94,82,45,37,108,51,57,219,102,117,9,5,4,16,7,9,-7,-2,-5,3,2,1,5,2,3,8,4,4,0.88,1,0.75,3.25,3.38,3.13,1.31,1.25,1.38,1.94,2.13,1.75,1.56,1.5,1.63,0.56,0.63,0.5,1,0.88,1.13,16,12,9,7,5,2,8,7,5,4,3,0,8,5,4,3,2,2,0,4,7,9,11,14,0,1,3,4,5,8,0,3,4,5,6,6,100,75,56,44,31,13,100,88,63,50,38,0,100,63,50,38,25,25,0,25,44,56,69,87,0,12,37,50,62,100,0,37,50,62,75,75,14,9,1,7,5,0,7,4,1,88,56,6,88,63,0,88,50,13,25,25,25,-8,0,0,0,56,63,50,44,38,50,25,25,25,5,3,2,31,38,25,9,5,4,56,63,50,4,1,3,25,13,38,19,25,13,31,25,38,50,50,50,4.31,4.75,3.88,2.19,2.63,1.75,81,81,75,63,50,38,31,19,1.16,1.2,1.13,1.68,1.66,1.7,88,1,2,3,0,3,0,3,5,4,4,3,2,4,4,3,4,2,5,6,13,0,69,63,75,6
Newcastle United FC,Newcastle United,2021/2022,England,17,8,9,0,1,1,0,7,4,3,9,3,6,0.59,0.88,0.33,19,18,20,19,18,37,-19,55,29,26,12,6,17,20,-5,-14,85,60,134,41,42,41,1,1,0,12,6,6,4,1,3,8,6,2,76,37,39,46,20,26,39,38,40,206,111,95,72,37,35,134,74,60,156,78,78,10,7,3,14,7,7,-4,0,-4,3,2,1,8,5,3,6,1,5,1,1.38,0.67,3.24,3.63,2.89,1.06,1.5,0.67,2.18,2.13,2.22,1.41,1.75,1.11,0.59,0.88,0.33,0.82,0.88,0.78,17,16,9,7,4,2,8,7,5,4,3,2,9,9,4,3,1,0,0,1,8,10,13,15,0,1,3,4,5,6,0,0,5,6,8,9,100,94,53,41,24,12,100,88,63,50,38,25,100,100,44,33,11,0,0,6,47,59,76,88,0,12,37,50,62,75,0,0,56,67,89,100,12,6,4,5,4,3,7,2,1,71,35,24,63,50,38,78,22,11,6,13,0,22,6,13,0,71,75,67,24,13,33,47,75,22,7,4,3,41,50,33,9,3,6,53,38,67,6,4,2,35,50,22,18,25,11,47,63,33,35,13,56,4.47,4.63,4.33,2.71,2.5,2.89,88,71,59,53,28,12,12,0,0.97,1.08,0.87,1.8,1.86,1.74,94,4,0,1,3,2,2,3,1,2,0,5,4,2,3,5,7,5,6,41,50,33,53,38,67,0
Aston Villa FC,Aston Villa,2021/2022,England,17,8,9,1,7,4,3,1,1,0,9,3,6,1.29,1.63,1,10,8,11,10,23,25,-2,48,25,23,14,9,11,14,3,-5,67,51,90,61,65,58,5,3,2,9,5,4,3,0,3,7,4,3,88,32,56,37,16,21,45,44,45,200,92,108,73,37,36,127,55,72,166,70,96,6,4,2,13,6,7,-7,-2,-5,3,1,2,7,5,2,7,2,5,0.94,1,0.89,2.82,3.13,2.56,1.35,1.75,1,1.47,1.38,1.56,1.12,1.25,1,0.35,0.5,0.22,0.76,0.75,0.78,17,14,10,4,3,0,8,8,5,2,2,0,9,6,5,2,1,0,0,3,7,13,14,17,0,0,3,6,6,8,0,3,4,7,8,9,100,82,59,24,18,0,100,100,63,25,25,0,100,67,56,22,11,0,0,18,41,76,82,100,0,0,37,75,75,100,0,33,44,78,89,100,12,6,1,5,4,1,7,2,0,71,35,6,63,50,13,78,22,0,41,50,33,18,29,38,22,53,63,44,18,0,33,41,50,33,8,4,4,47,50,44,11,4,7,65,50,78,3,3,0,18,38,0,18,13,22,41,63,22,41,25,56,5.18,4,6.22,2.18,2,2.33,88,82,82,65,53,41,41,28,1.13,1.11,1.16,1.53,1.37,1.68,71,0,3,0,2,3,1,6,1,7,4,2,3,1,4,1,2,3,5,6,13,0,53,38,67,18
Norwich City FC,Norwich City,2021/2022,England,17,9,8,1,2,1,1,4,2,2,11,6,5,0.59,0.56,0.63,20,20,18,20,8,34,-26,42,19,23,5,3,14,20,-9,-17,191,161,237,45,58,36,3,2,1,6,4,2,11,5,6,1,0,1,78,53,25,33,17,16,46,45,47,197,119,78,66,39,27,131,80,51,144,76,68,5,3,2,12,5,7,-7,-2,-5,1,0,1,10,7,3,6,2,4,0.76,0.78,0.75,2.47,2.11,2.88,0.47,0.56,0.38,2,1.56,2.5,1,0.89,1.13,0.29,0.33,0.25,0.71,0.56,0.88,14,12,9,3,2,1,7,6,5,1,0,0,7,6,4,2,2,1,3,5,8,14,15,16,2,3,4,8,9,9,1,2,4,6,6,7,82,71,53,18,12,6,78,67,56,11,0,0,88,75,50,25,25,13,18,29,47,82,88,94,22,33,44,89,100,100,12,25,50,75,75,87,10,6,1,5,3,0,5,3,1,59,35,6,56,33,0,63,38,13,12,11,13,21,18,22,13,35,44,25,65,56,75,6,0,13,8,4,4,47,44,50,13,6,7,76,67,88,3,3,0,18,33,0,6,0,13,59,78,38,35,22,50,4.59,5.89,3.13,1.94,1.89,2,88,71,65,65,53,53,28,28,0.96,1.09,0.82,1.72,1.51,1.95,71,2,0,1,1,1,1,0,2,0,5,2,3,1,1,4,7,7,4,24,22,25,65,67,63,12
Brighton & Hove Albion FC,Brighton & Hove Albion,2021/2022,England,16,8,8,3,4,2,2,8,3,5,4,3,1,1.25,1.13,1.38,13,16,7,13,14,17,-3,31,15,16,6,8,9,8,-3,0,102,120,90,85,80,90,5,3,2,8,3,5,6,4,2,4,3,1,81,45,36,39,19,20,57,56,59,200,124,76,71,33,38,129,91,38,150,76,74,5,4,1,11,5,6,-6,-1,-5,3,3,0,5,2,3,8,3,5,0.88,1.38,0.38,1.94,1.88,2,0.88,0.75,1,1.06,1.13,1,1,1.13,0.88,0.31,0.5,0.13,0.69,0.63,0.75,13,11,4,2,1,0,6,5,2,1,1,0,7,6,2,1,0,0,3,5,12,14,15,16,2,3,6,7,7,8,1,2,6,7,8,8,81,69,25,13,6,0,75,63,25,13,13,0,88,75,25,13,0,0,19,31,75,87,94,100,25,37,75,87,87,100,12,25,75,87,100,100,11,3,2,6,2,1,5,1,1,69,19,13,75,25,13,63,13,13,25,25,25,-11,31,38,25,50,38,63,38,50,25,25,38,13,8,5,3,50,63,38,12,5,7,75,63,88,1,0,1,6,0,13,19,38,0,31,25,38,50,38,63,5.06,5.63,4.5,2.44,2.38,2.5,94,81,69,56,56,38,31,6,1.34,1.51,1.16,1.37,1.37,1.36,25,1,0,1,1,3,0,1,2,5,3,1,3,1,3,1,2,0,3,50,38,63,25,38,13,0
Brentford FC,Brentford,2021/2022,England,16,8,8,2,5,3,2,5,1,4,6,4,2,1.25,1.25,1.25,12,13,8,12,21,22,-1,43,20,23,10,11,10,12,0,-1,69,72,65,65,72,60,4,2,2,9,4,5,4,2,2,6,3,3,61,36,25,33,16,17,47,47,47,198,110,88,73,41,32,125,69,56,170,87,83,9,3,6,14,6,8,-5,-3,-2,4,2,2,5,2,3,7,4,3,1.06,1,1.13,2.69,2.5,2.88,1.31,1.25,1.38,1.38,1.25,1.5,1.44,1.13,1.75,0.56,0.38,0.75,0.88,0.75,1,15,12,8,4,2,2,8,5,4,1,1,1,7,7,4,3,1,1,1,4,8,12,14,14,0,3,4,7,7,7,1,1,4,5,7,7,94,75,50,25,13,13,100,63,50,13,13,13,88,88,50,38,13,13,6,25,50,75,87,87,0,37,50,87,87,87,12,12,50,62,87,87,14,6,2,7,2,0,7,4,2,88,38,13,88,25,0,88,50,25,31,38,25,2,25,25,25,56,50,63,25,25,25,38,38,38,6,3,3,38,38,38,9,5,4,56,63,50,3,1,2,19,13,25,25,25,25,31,25,38,44,50,38,3.81,4.5,3.13,2.06,2,2.13,63,56,44,44,25,19,19,13,1.3,1.47,1.13,1.46,1.37,1.55,63,1,2,4,2,0,3,3,2,4,3,3,3,4,1,1,2,3,2,31,13,50,38,50,25,13
Leeds United FC,Leeds United,2021/2022,England,18,9,9,0,3,2,1,7,4,3,8,3,5,0.89,1.11,0.67,16,15,17,16,18,36,-18,54,25,29,10,8,15,21,-5,-13,90,81,101,45,54,39,3,2,1,12,6,6,4,1,3,9,5,4,77,49,28,52,25,27,56,60,52,249,135,114,90,42,48,159,93,66,202,84,118,8,5,3,13,7,6,-5,-2,-3,4,3,1,9,3,6,5,3,2,1.17,1.33,1,3,2.78,3.22,1,1.11,0.89,2,1.67,2.33,1.17,1.33,1,0.44,0.56,0.33,0.72,0.78,0.67,17,14,10,6,4,2,9,7,5,3,1,0,8,7,5,3,3,2,1,4,8,12,14,16,0,2,4,6,8,9,1,2,4,6,6,7,94,78,56,33,22,11,100,78,56,33,11,0,89,78,56,33,33,22,6,22,44,67,78,89,0,22,44,67,89,100,11,22,44,67,67,78,13,6,2,8,3,1,5,3,1,72,33,11,89,33,11,56,33,11,17,22,11,14,17,22,11,67,67,67,22,11,33,50,56,44,9,4,5,50,44,56,10,4,6,56,44,67,4,2,2,22,22,22,22,33,11,50,33,67,28,33,22,4.53,6.13,3.11,2.89,2.78,3,88,76,71,41,35,28,18,6,1.54,1.74,1.36,1.7,1.48,1.9,78,0,3,3,0,3,2,0,2,5,2,3,4,1,6,8,6,2,4,39,44,33,44,33,56,6
Wolverhampton Wanderers FC,Wolverhampton Wanderers,2021/2022,England,17,8,9,0,7,3,4,3,1,2,7,4,3,1.41,1.25,1.56,8,14,5,8,13,14,-1,27,12,15,5,8,7,7,-2,1,118,143,101,110,102,115,6,2,4,4,2,2,9,5,4,7,3,4,73,32,41,32,14,18,49,54,44,187,106,81,72,34,38,115,72,43,166,66,100,5,3,2,5,4,1,0,-1,1,3,1,2,11,5,6,3,2,1,1.18,1,1.33,1.59,1.5,1.67,0.76,0.63,0.89,0.82,0.88,0.78,0.59,0.88,0.33,0.29,0.38,0.22,0.29,0.5,0.11,15,7,3,1,1,0,7,3,2,0,0,0,8,4,1,1,1,0,2,10,14,16,16,17,1,5,6,8,8,8,1,5,8,8,8,9,88,41,18,6,6,0,88,38,25,0,0,0,89,44,11,11,11,0,12,59,82,94,94,100,12,62,75,100,100,100,11,56,89,89,89,100,7,3,0,4,3,0,3,0,0,41,18,0,50,38,0,33,0,0,41,38,44,-12,35,25,44,24,25,22,53,63,44,41,38,44,13,5,8,76,63,89,13,6,7,76,75,78,1,1,0,6,13,0,18,13,22,65,63,67,18,25,11,4.29,4,4.56,1.88,1.75,2,88,76,76,59,28,24,18,12,0.95,1.12,0.81,1.5,1.24,1.74,35,1,1,1,1,1,2,1,2,3,1,0,1,1,3,0,4,2,2,18,13,22,41,50,33,6
